time(s),channel_0
0.0,2.2089162178771495
0.001,1.9077613838670278
0.002,1.8887994102461634
0.003,1.7991554141439114
0.004,1.764822684988769
0.005,2.022833093682533
0.006,1.7952728301780843
0.007,1.3183110572960408
0.008,1.4801625623580843
0.009000000000000001,1.0549529710941543
0.01,0.9941690116678197
0.011,1.1302433195735375
0.012,0.9777471095483384
0.013000000000000001,0.6758534112257681
0.014,0.5660424879278713
0.015,0.666601659263067
0.016,0.5141621948799031
0.017,0.694500193676912
0.018000000000000002,1.0443498878278725
0.019,0.7482604754836629
0.02,1.1441931021953529
0.021,1.2548138139819018
0.022,1.1117328538519047
0.023,1.3489800186058465
0.024,1.2628075058534476
0.025,1.7599662134326528
0.026000000000000002,1.8559260205096058
0.027,1.4246334736766886
0.028,1.8467891020366323
0.029,1.6748903790646656
0.03,1.7223565752587284
0.031,1.6135725152692633
0.032,1.5235622548990098
0.033,1.1689746431035837
0.034,1.187844495921858
0.035,1.2838137545395125
0.036000000000000004,1.3361054933212324
0.037,1.035176077689132
0.038,1.0355094378083953
0.039,1.3312446912439828
0.04,1.4387210514567652
0.041,1.4756900741814976
0.042,1.3310847689455945
0.043000000000000003,1.6027596626383285
0.044,1.6622720391096146
0.045,1.859464739850988
0.046,1.9973091005409493
0.047,2.250324652372689
0.048,2.3703370973828877
0.049,2.7988419369826336
0.05,2.9032296104689834
0.051000000000000004,3.1413477397678613
0.052000000000000005,3.242587250876466
0.053,3.02886384038156
0.054,3.3991157759060506
0.055,3.3253621987194033
0.056,3.022630926934959
0.057,2.7411589880253766
0.058,2.5210600178394396
0.059000000000000004,2.212292474470142
0.06,2.0110522666571597
0.061,1.7642729281620841
0.062,1.5153102724502454
0.063,1.7304004004798155
0.064,1.584880491257255
0.065,1.3119041527941522
0.066,1.3354322878871088
0.067,1.1464632835942323
0.068,1.0740019523743543
0.069,1.3488415668050895
0.07,1.4873657176424568
0.07100000000000001,1.4073536519095144
0.07200000000000001,1.7577539819837344
0.073,2.1072408189251473
0.074,1.900257745601379
0.075,1.9256142505951463
0.076,2.1712904033331197
0.077,2.107774384803211
0.078,1.7998530153730414
0.079,1.826990404218205
0.08,1.6076232526862853
0.081,1.2840411872910944
0.082,0.972390929054374
0.083,0.8516194780776087
0.084,0.7133110610071661
0.085,0.6287118278621902
0.08600000000000001,0.27778729829853505
0.08700000000000001,0.3692798765054268
0.088,0.10006180360922468
0.089,0.3362843767101398
0.09,0.4595773594846068
0.091,0.5743582604570718
0.092,0.6474406224500903
0.093,0.6878430568058919
0.094,1.094471959891307
0.095,1.3956747564104657
0.096,1.4934636097464877
0.097,1.8690534185174428
0.098,2.0342588191922353
0.099,1.759849766007717
0.1,1.7748443089602195
0.101,1.8835325970619738
0.10200000000000001,2.2578837131006706
0.10300000000000001,2.22174189385155
0.10400000000000001,1.7604631480354946
0.105,1.7137838267361558
0.106,1.6641188864472594
0.107,1.3682559755182306
0.108,1.3023509985325916
0.109,1.2659968799849965
0.11,1.0284948681736905
0.111,1.0182639050445172
0.112,0.8319003882748653
0.113,0.50849694772484
0.114,0.6756874044016207
0.115,0.726269121068681
0.116,0.7127581068931865
0.117,0.7454361670076508
0.11800000000000001,0.8968257933127068
0.11900000000000001,0.9632213042760649
0.12,0.889987807829326
0.121,1.0896930044741955
0.122,1.5308975600172399
0.123,1.1712806168012597
0.124,1.2645688223774862
0.125,1.4563306115715247
0.126,1.656637677111834
0.127,1.8901088807300834
0.128,1.8978372483738633
0.129,1.8829983156051706
0.13,1.4061408961930204
0.131,1.6307212700135447
0.132,1.4946345759437754
0.133,1.2453300319944862
0.134,1.5543113295429394
0.135,1.1324013584383124
0.136,1.4510140421900124
0.137,1.2011753706948822
0.138,0.9842010929202504
0.139,1.0984698582822243
0.14,1.0460545691095484
0.14100000000000001,1.2386487639486023
0.14200000000000002,1.4486708814279972
0.14300000000000002,1.6616232362646248
0.14400000000000002,1.7283199744655349
0.145,1.8441645410490175
0.146,2.1969892922019687
0.147,2.3523314578450325
0.148,2.527745007452771
0.149,2.7067921881691457
0.15,2.8192070034183123
0.151,3.070574351310834
0.152,3.1735377682147425
0.153,3.4071018405552738
0.154,3.296875356687561
0.155,3.2372171447747
0.156,2.9092022218505202
0.157,2.719145615479751
0.158,2.6669836187844247
0.159,2.465638832641069
0.16,1.929438523568329
0.161,1.7075193322470972
0.162,1.6565258003832066
0.163,1.3269636683154082
0.164,1.587195142968179
0.165,1.4317251830605962
0.166,1.2298622548761105
0.167,1.0854068010395928
0.168,1.0954335119519356
0.169,1.6066277300784522
0.17,1.586538018867935
0.171,1.7931113438809003
0.17200000000000001,1.687322684239031
0.17300000000000001,1.7365788105857483
0.17400000000000002,1.8524587891946178
0.17500000000000002,2.1862637939383704
0.176,2.005057129952591
0.177,2.0622384110200995
0.178,2.046184098297181
0.179,1.6364623150619293
0.18,1.3772076845210892
0.181,1.5020246143589453
0.182,1.3976957172149576
0.183,1.1722016962235708
0.184,0.7300710219244828
0.185,0.6153378249654657
0.186,0.5171560493086722
0.187,0.4999339987790611
0.188,0.08112345937412202
0.189,0.21041263512942854
0.19,0.2789781195515114
0.191,0.5323545752977326
0.192,0.5547001648078072
0.193,0.9623999955694087
0.194,1.1690707459395426
0.195,1.0009651655002767
0.196,1.331677937610157
0.197,1.8676613442277517
0.198,1.5638222539608282
0.199,1.9226990239075814
0.2,2.239443667227791
0.201,2.2084472020731685
0.202,1.943300521119312
0.203,2.043083728170953
0.20400000000000001,1.8705628648261385
0.20500000000000002,1.8297199528233414
0.20600000000000002,1.8363073079935224
0.20700000000000002,1.5093511458155944
0.20800000000000002,1.3184834416677953
0.209,1.0775513261680547
0.21,0.9099998113616239
0.211,0.931368716530247
0.212,0.6100546821259869
0.213,0.8256157910780162
0.214,0.8765398736498076
0.215,0.9575593888335101
